awareness,confidence,correct,experiment_test,experiment_train,fold,model,participant,score,sub,window
0.3196344807494917,0.354831438967507,0.3255340802830012,POS,POS,,RandomForestClassifier,,0.6244285714285713,SD,4
1.7802526172647068,1.4896421544440759,-0.2593370301849919,POS,POS,,LogisticRegression,,0.7798218390804599,NN,1
0.36046214573247504,0.3331381916595045,0.3063996626080203,POS,POS,,RandomForestClassifier,,0.7818419540229885,NN,1
0.4138929448257121,1.0291657663047689,0.0913992920162064,POS,POS,,LogisticRegression,,0.6579259589652097,NN,2
0.3237654476642258,0.35583042412888155,0.3204041282068927,POS,POS,,RandomForestClassifier,,0.6616726137377341,NN,2
0.08523393756316168,0.3610249048310435,0.6610683057935429,POS,POS,,LogisticRegression,,0.5664169278996866,NN,3
0.324894562756495,0.3372325925148864,0.3378728447286185,POS,POS,,RandomForestClassifier,,0.571730407523511,NN,3
-0.1820334645109798,0.07042684489527615,-0.3565979279563116,POS,POS,,LogisticRegression,,0.51046783625731,NN,4
0.3364164354935432,0.3292580745772411,0.33432548992921585,POS,POS,,RandomForestClassifier,,0.5092007797270955,NN,4
0.679125975181033,1.42176944265547,-0.09277624808289968,POS,POS,,LogisticRegression,,0.6802264150943396,TJ,1
0.3235684970596776,0.3631514355065642,0.31328006743375825,POS,POS,,RandomForestClassifier,,0.6799767779390423,TJ,1
0.138085054390635,0.30372179641580144,-0.05755903800522675,POS,POS,,LogisticRegression,,0.5196675651392632,TJ,2
0.3306894026569316,0.3385646775474957,0.3307459197955724,POS,POS,,RandomForestClassifier,,0.5170530098831986,TJ,2
-0.2479414792723441,-0.4076205963605009,0.012481631257503607,POS,POS,,LogisticRegression,,0.5406825346784363,TJ,3
0.3324318804308868,0.33967836108261884,0.3278897584864944,POS,POS,,RandomForestClassifier,,0.5414328499369483,TJ,3
0.17455370447347004,0.15064916004590218,-0.2289780091270313,POS,POS,,LogisticRegression,,0.5000898692810457,TJ,4
0.3341654210530751,0.3327946784663649,0.33303990048056,POS,POS,,RandomForestClassifier,,0.4906944444444444,TJ,4
1.3164915390800014,1.9030861830553385,0.4301098364524507,POS,POS,,LogisticRegression,,0.7867438811188809,RP,1
0.32404552732807296,0.3667363003632145,0.3092181723087127,POS,POS,,RandomForestClassifier,,0.7866593822843823,RP,1
0.7854764205206659,0.3983277023621077,-0.029551731446802343,POS,POS,,LogisticRegression,,0.5935897435897436,RP,2
0.3461182421659428,0.33174720225501103,0.3221345555790464,POS,POS,,RandomForestClassifier,,0.5980211161387632,RP,2
0.5841291952769274,0.0806212878745986,-0.1346228128954788,POS,POS,,LogisticRegression,,0.5370232780612244,RP,3
0.3423651373226219,0.3291836077591748,0.32845125491820354,POS,POS,,RandomForestClassifier,,0.5372592474489796,RP,3
0.4752350736790672,-0.3043036971059225,-0.180686848965603,POS,POS,,LogisticRegression,,0.5409821428571429,RP,4
0.3382838833759127,0.3328252165440514,0.3288909000800359,POS,POS,,RandomForestClassifier,,0.5308994708994709,RP,4
